H,Li,Be,B,C,N,Na,Mg,Al,Si,P,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Pu
H,0.0,-25.0,2.0,5.0,-3.0,-18.0,-16.0,-19.0,-8.0,-19.0,0.5,-16.0,-46.0,-60.0,-54.0,-39.0,-28.0,-34.0,-23.0,-23.0,-23.0,-6.0,-8.0,-8.0,-14.5,-1.0,-16.0,-45.0,-61.0,-69.0,-46.0,-28.0,-21.0,-20.0,-23.0,-27.0,-10.0,-6.0,-6.0,-4.0,-1.0,-16.0,-49.0,-60.0,-61.0,-61.0,-61.0,-61.0,-61.0,-45.0,-61.0,-61.0,-61.0,-60.0,-61.0,-61.0,-45.0,-61.0,-63.0,-46.0,-24.0,-18.0,-19.0,-20.0,-24.0,-8.0,-3.0,-3.0,-1.0,0.0,-61.0,-53.0,-54.0
Li,-25.0,0.0,-5.0,-6.0,-61.0,-145.0,4.0,0.0,-4.0,-30.0,-45.5,11.0,-1.0,12.0,34.0,37.0,35.0,19.0,26.0,8.0,1.0,-5.0,-7.0,-9.0,-34.5,-29.0,13.0,0.0,8.0,27.0,51.0,49.0,8.0,5.0,-14.0,-40.0,-16.0,-13.0,-12.0,-18.0,-28.0,16.0,0.0,6.0,7.0,7.0,7.0,8.0,8.0,-1.0,8.0,9.0,9.0,8.0,9.0,9.0,-1.0,10.0,30.0,48.0,50.0,29.0,11.0,-9.0,-33.0,-37.0,-19.0,-15.0,-21.0,-23.0,14.0,30.0,21.0
Be,2.0,-5.0,0.0,0.0,-15.0,-39.0,18.0,-3.0,0.0,-15.0,-3.5,27.0,-14.0,-36.0,-30.0,-16.0,-7.0,-10.0,-4.0,-4.0,-4.0,0.0,4.0,5.0,-3.5,7.0,28.0,-10.0,-32.0,-43.0,-25.0,-7.0,-3.0,-3.0,-6.0,-8.0,6.0,11.0,16.0,15.0,18.0,29.0,-10.0,-29.0,-30.0,-31.0,-31.0,-33.0,-32.0,-12.0,-32.0,-33.0,-32.0,-32.0,-33.0,-33.0,-14.0,-35.0,-37.0,-24.0,-3.0,0.0,-2.0,-5.0,-10.0,0.0,15.0,23.0,25.0,26.0,-37.0,-27.0,-25.0
B,5.0,-6.0,0.0,0.0,-10.0,-28.0,18.0,-4.0,0.0,-14.0,0.5,27.0,-22.0,-55.0,-58.0,-42.0,-31.0,-32.0,-26.0,-24.0,-24.0,0.0,4.0,6.0,-0.5,10.0,28.0,-18.0,-50.0,-71.0,-54.0,-34.0,-25.0,-24.0,-25.0,-24.0,5.0,13.0,18.0,18.0,23.0,29.0,-19.0,-47.0,-48.0,-49.0,-49.0,-51.0,-50.0,-19.0,-50.0,-51.0,-51.0,-50.0,-52.0,-52.0,-22.0,-54.0,-66.0,-54.0,-31.0,-25.0,-24.0,-26.0,-28.0,-2.0,19.0,27.0,30.0,31.0,-57.0,-54.0,-50.0
C,-3.0,-61.0,-15.0,-10.0,0.0,-2.0,-45.0,-55.0,-36.0,-39.0,-4.5,-43.0,-89.0,-118.0,-109.0,-82.0,-61.0,-66.0,-50.0,-42.0,-39.0,-33.0,-32.0,-33.0,-29.5,-14.0,-44.0,-87.0,-117.0,-131.0,-102.0,-67.0,-39.0,-35.0,-35.0,-32.0,-32.0,-27.0,-27.0,-23.0,-13.0,-43.0,-90.0,-116.0,-116.0,-117.0,-116.0,-118.0,-117.0,-87.0,-117.0,-118.0,-117.0,-116.0,-118.0,-117.0,-88.0,-119.0,-123.0,-101.0,-60.0,-42.0,-35.0,-32.0,-30.0,-20.0,-20.0,-19.0,-13.0,-12.0,-123.0,-105.0,-102.0
N,-18.0,-145.0,-39.0,-28.0,-2.0,0.0,-141.0,-134.0,-92.0,-81.0,-24.5,-152.0,-201.0,-224.0,-190.0,-143.0,-107.0,-119.0,-87.0,-75.0,-69.0,-84.0,-88.0,-95.0,-78.5,-59.0,-154.0,-206.0,-232.0,-233.0,-174.0,-115.0,-68.0,-61.0,-63.0,-62.0,-94.0,-91.0,-98.0,-90.0,-74.0,-155.0,-212.0,-235.0,-234.0,-233.0,-235.0,-233.0,-202.0,-231.0,-232.0,-232.0,-231.0,-229.0,-230.0,-229.0,-199.0,-231.0,-218.0,-173.0,-103.0,-72.0,-60.0,-54.0,-52.0,-58.0,-81.0,-91.0,-82.0,-80.0,-237.0,-189.0,-188.0
Na,-16.0,4.0,18.0,18.0,-45.0,-141.0,0.0,10.0,13.0,-11.0,-26.5,1.0,1.0,34.0,68.0,73.0,71.0,49.0,62.0,41.0,32.0,16.0,6.0,5.0,-21.5,-14.0,2.0,-2.0,28.0,59.0,93.0,93.0,47.0,44.0,19.0,-15.0,0.0,-3.0,-5.0,-8.0,-20.0,3.0,-3.0,24.0,25.0,26.0,26.0,28.0,28.0,0.0,28.0,29.0,29.0,28.0,30.0,30.0,2.0,31.0,63.0,89.0,97.0,73.0,52.0,28.0,-1.0,-14.0,-11.0,-11.0,-18.0,-20.0,39.0,65.0,49.0
Mg,-19.0,0.0,-3.0,-4.0,-55.0,-134.0,10.0,0.0,-2.0,-26.0,-39.5,20.0,-6.0,-3.0,16.0,23.0,24.0,10.0,18.0,3.0,-4.0,-3.0,-4.0,-4.0,-26.5,-21.0,23.0,-4.0,-6.0,6.0,32.0,36.0,3.0,0.0,-17.0,-40.0,-10.0,-6.0,-4.0,-9.0,-16.0,25.0,-4.0,-7.0,-7.0,-6.0,-6.0,-6.0,-6.0,-5.0,-6.0,-6.0,-6.0,-6.0,-5.0,-5.0,-6.0,-5.0,10.0,30.0,38.0,21.0,5.0,-13.0,-35.0,-32.0,-10.0,-3.0,-8.0,-10.0,-3.0,14.0,6.0
Al,-8.0,-4.0,0.0,0.0,-36.0,-92.0,13.0,-2.0,0.0,-19.0,-20.5,23.0,-20.0,-38.0,-30.0,-16.0,-10.0,-19.0,-11.0,-19.0,-22.0,-1.0,1.0,1.0,-14.5,-6.0,25.0,-18.0,-38.0,-44.0,-18.0,-5.0,-20.0,-21.0,-32.0,-46.0,-4.0,3.0,7.0,4.0,2.0,26.0,-20.0,-38.0,-38.0,-38.0,-38.0,-39.0,-38.0,-19.0,-39.0,-39.0,-38.0,-38.0,-38.0,-38.0,-20.0,-39.0,-39.0,-19.0,-2.0,-9.0,-18.0,-30.0,-44.0,-22.0,4.0,11.0,10.0,10.0,-40.0,-30.0,-33.0
Si,-19.0,-30.0,-15.0,-14.0,-39.0,-81.0,-11.0,-26.0,-19.0,0.0,-25.5,-4.0,-51.0,-74.0,-66.0,-48.0,-37.0,-45.0,-35.0,-38.0,-40.0,-19.0,-18.0,-17.0,-14.5,-17.0,-4.0,-49.0,-73.0,-84.0,-56.0,-35.0,-38.0,-38.0,-46.0,-55.0,-20.0,-13.0,-10.0,-11.0,-8.0,-3.0,-52.0,-73.0,-73.0,-73.0,-73.0,-74.0,-74.0,-49.0,-73.0,-74.0,-74.0,-73.0,-74.0,-74.0,-51.0,-75.0,-77.0,-56.0,-31.0,-31.0,-36.0,-43.0,-53.0,-30.0,-10.0,-4.0,-2.0,-2.0,-77.0,-66.0,-66.0
